plant_date,DoY,WL1(mm),WL2(mm),WL3(mm),WL4 (mm),WL5 (mm),Solar (W/m2),AirTemp (DegC),RH (%),(delta)PD
0.2083,237.2083,53,208,87,36,44,0,21.9,97,-0.1
0.4583,237.4583,59,62,93,36,50,113,22.3,100,-0.1
0.625,237.625,60,61,93,36,56,152,22.8,100,-0.1
0.6667,237.6667,58,60,91,36,51,141,23.3,100,-0.1
0.7083,237.7083,57,61,91,36,48,123,23.6,99,-0.1
0.75,237.75,55,60,92,36,45,42,23.7,97,-0.2
0.8333,237.8333,57,59,91,36,44,0,23.1,100,-0.1
0.875,237.875,54,58,91,36,44,0,23,100,-0.1
0.9583,237.9583,54,60,91,36,44,0,22.9,100,-0.1
1.0833,238.0833,52,60,90,36,44,0,22.7,99,-0.1
1.1667,238.1667,54,61,90,36,44,0,22.4,100,-0.1
1.25,238.25,53,61,90,36,44,0,22.2,100,-0.1
1.375,238.375,54,60,90,36,44,44,22.8,100,-0.1
1.5,238.5,53,60,90,36,44,294,24.3,100,-0.1
1.7917,238.7917,55,59,88,36,44,39,24.6,95,-0.1
1.9167,238.9167,56,60,89,36,44,0,22.8,98,-0.1
2,239,51,59,88,36,44,0,21.3,100,-0.1
2.25,239.25,53,62,88,36,44,0,21.2,100,-0.1
2.375,239.375,59,64,92,36,44,31,21.7,100,-0.1
2.5833,239.5833,52,61,83,36,44,111,23.3,96,-0.2
2.75,239.75,53,60,80,36,44,56,23.2,86,-0.1
2.9583,239.9583,51,60,82,36,44,0,19.5,100,-0.1
3.4167,240.4167,51,63,83,36,44,625,23.6,91,-0.1
3.5417,240.5417,50,62,84,36,44,928,27.6,61,-0.1
3.5833,240.5833,51,61,83,36,44,850,28.9,55,-0.1
3.875,240.875,51,61,89,36,44,0,19.8,89,-0.1
4.4167,241.4167,54,63,92,36,44,336,20.8,91,-0.1
4.5,241.5,38,64,92,36,43,726,25.7,76,-0.2
4.5417,241.5417,38,63,93,36,43,663,26.7,68,-0.1
4.5833,241.5833,37,65,92,37,43,855,28,60,-0.1
4.625,241.625,37,64,92,37,43,565,28.1,57,-0.1
4.6667,241.6667,37,63,93,37,43,389,27.6,64,-0.1
4.75,241.75,37,63,91,36,43,125,27.2,71,-0.1
4.7917,241.7917,38,64,93,36,43,27,25.1,80,-0.1
4.875,241.875,38,67,92,36,43,0,20.9,94,-0.1
4.9167,241.9167,38,62,94,36,43,0,20,97,-0.1
5,242,38,65,94,36,43,0,19.7,100,-0.1
5.0833,242.0833,38,65,92,36,43,0,19.2,99,-0.1
5.1667,242.1667,38,66,93,36,43,0,18.8,100,-0.1
5.2917,242.2917,38,64,92,36,43,21,18.4,100,-0.1
6.5833,243.5833,39,70,114,36,45,107,20.4,100,-0.2
6.625,243.625,39,72,113,36,44,122,20.7,100,-0.1
6.6667,243.6667,39,71,111,36,44,74,21,100,-0.1
6.75,243.75,39,71,113,36,44,19,21,100,-0.1
7,244,38,70,114,36,44,0,20.2,100,-0.1
7.125,244.125,39,73,113,36,44,0,20.3,100,-0.1
7.1667,244.1667,38,75,111,36,44,0,20.4,100,-0.1
7.375,244.375,81,96,89,-6,113,6,20.2,100,-0.1
7.4167,244.4167,79,75,111,3,96,24,20.4,100,-0.7
7.5,244.5,64,69,96,14,71,165,21,100,-0.8
7.5417,244.5417,44,54,81,27,48,195,21.6,100,-0.7
7.5833,244.5833,39,49,65,32,43,251,22,100,-0.4
7.625,244.625,39,48,59,34,43,241,23.4,100,-0.4
7.6667,244.6667,39,47,52,35,43,142,23.8,100,-0.3
7.7083,244.7083,39,46,50,35,43,102,23.8,100,-0.2
7.75,244.75,39,46,49,35,43,31,23.3,100,-0.2
7.7917,244.7917,39,46,48,35,43,8,23.1,100,-0.2
7.8333,244.8333,39,45,46,35,43,0,22.7,100,-0.2
7.875,244.875,39,45,46,36,43,0,22.5,100,-0.1
7.9167,244.9167,39,45,46,36,43,0,22.5,100,-0.1
7.9583,244.9583,39,45,45,36,43,0,22.4,100,-0.1
8.0417,245.0417,39,45,46,36,43,0,22.2,100,-0.1
8.0833,245.0833,39,45,45,36,43,0,22.1,99,-0.1
8.1667,245.1667,39,45,49,36,43,0,21.9,100,-0.2
8.2083,245.2083,39,45,47,36,43,0,22,100,-0.1
8.25,245.25,39,45,46,36,43,0,22,100,-0.2
8.2917,245.2917,39,45,45,36,43,8,22,100,-0.1
8.3333,245.3333,39,45,45,36,43,21,22.3,100,-0.1
8.375,245.375,39,45,44,36,43,56,22.6,100,-0.1
8.4583,245.4583,39,45,44,36,43,63,23.2,100,-0.1
8.5417,245.5417,39,45,44,36,43,113,23.7,100,-0.2
8.625,245.625,39,44,43,36,43,119,24.5,100,-0.2
8.7083,245.7083,39,44,43,36,43,68,24.6,100,-0.1
8.7917,245.7917,39,44,43,36,43,13,24.6,100,-0.1
8.875,245.875,58,67,109,15,53,0,23.8,100,-0.8
8.9167,245.9167,38,51,76,29,44,0,23.7,100,-0.6
8.9583,245.9583,38,46,58,33,44,0,23.4,100,-0.4
9,246,38,45,50,34,44,0,23,100,-0.3
9.0417,246.0417,38,45,48,34,44,0,22.9,100,-0.3
9.0833,246.0833,38,45,46,35,44,0,22.8,99,-0.2
9.125,246.125,38,45,45,35,44,0,22.8,100,-0.2
9.1667,246.1667,38,45,44,35,44,0,22.8,100,-0.2
9.2083,246.2083,38,45,44,35,44,0,22.8,100,-0.1
9.25,246.25,37,44,44,35,44,0,22.8,100,-0.1
9.2917,246.2917,37,44,43,35,44,13,22.9,100,-0.2
9.3333,246.3333,37,44,43,35,44,51,23.4,100,-0.1
9.375,246.375,37,44,42,35,44,83,24,100,-0.1
9.4167,246.4167,37,44,42,35,44,196,24.7,100,-0.1
9.4583,246.4583,37,44,41,35,44,474,25.9,100,-0.1
9.5,246.5,37,44,41,35,44,615,27.4,95,-0.2
9.5417,246.5417,37,44,41,35,44,484,28.1,91,-0.1
9.5833,246.5833,37,44,41,35,44,366,28.5,87,-0.1
9.625,246.625,37,44,41,36,44,440,28.4,87,-0.1
9.6667,246.6667,37,43,40,36,43,390,28.5,84,-0.1
9.75,246.75,37,44,40,36,43,75,27.2,87,-0.1
9.7917,246.7917,37,44,40,36,43,15,25.8,94,-0.1
9.8333,246.8333,37,44,40,36,43,0,24.6,99,-0.1
9.9167,246.9167,37,44,40,36,43,0,23.5,100,-0.1
9.9583,246.9583,37,44,40,36,43,0,23.1,100,-0.1
10,247,37,44,40,36,43,0,22.8,100,-0.1
10.0417,247.0417,37,44,40,36,43,0,22.7,100,-0.1
10.125,247.125,37,44,40,36,43,0,22.1,100,-0.1
10.1667,247.1667,37,44,40,36,43,0,22,100,-0.1
10.2083,247.2083,37,44,40,36,43,0,21.7,100,-0.1
10.25,247.25,37,44,40,36,43,0,21.9,100,-0.1
10.3333,247.3333,37,43,40,36,43,130,23.9,100,-0.1
10.375,247.375,37,43,40,36,43,116,25.1,100,-0.1
10.4583,247.4583,37,43,40,36,43,188,26.5,96,-0.1
10.5,247.5,37,43,40,36,43,341,27.1,95,-0.1
10.5833,247.5833,37,43,40,36,43,281,28.8,87,-0.1
10.625,247.625,37,43,40,36,43,282,28.9,87,-0.1
10.6667,247.6667,37,43,40,36,43,214,28.9,86,-0.1
10.7083,247.7083,37,43,40,36,43,98,28.3,81,-0.1
