DAT,WL_Flume (m3/hour),WL_Flume_OUT (m3/hour),Solar (W/m2),Precipitation (mm),WindSpeed (m/s),RH (%),delta PD (mm)
164.7916667,0.024406441,0.156048097,42,0,1.23,84.9,-0.1
164.8333333,0.031719426,0.136485904,4,0,0.79,88.4,-0.1
164.875,0.031719426,0.136485904,0,0,0.6,90.5,-0.1
164.9166667,0.031719426,0.060882517,0,0,0.48,91.5,-0.1
164.9583333,0.040201175,0.049905276,0,1.766,0.72,92.4,0.2
165,0.031719426,1.78040211,0,12.681,0.4,95.5,1.1
165.0416667,0.031719426,4.28564367,0,7.821,0.38,97.3,0.4
165.0833333,0.040201175,7.149704112,0,8.651,0.33,97,0.4
165.125,0.031719426,7.544201246,0,5.762,0.41,98.5,0
165.1666667,0.031719426,9.476545093,0,13.209,0.55,98.3,0.5
165.2083333,0.024406441,9.248945418,0,3.519,0.62,98.6,-0.4
165.25,0.024406441,6.957125253,2,1.834,0.42,98.1,-0.4
165.2916667,0.024406441,5.039394383,21,1.294,0.28,98.5,-0.4
165.3333333,0.024406441,3.474411799,57,0.289,0.31,99.6,-0.2
165.375,0.018205417,2.440448814,95,0.017,0.41,99.9,-0.3
165.4166667,0.024406441,1.695966395,215,0,0.41,100,-0.1
165.4583333,0.024406441,1.171029737,325,0,0.29,99.2,-0.2
165.5,0.024406441,0.756400174,348,0,0.59,94.9,-0.1
165.5416667,0.018205417,0.565888725,326,0,1.06,92.2,0
165.5833333,0.024406441,0.372122673,256,0,0.9,90.9,-0.1
165.625,0.024406441,0.307698217,336,0,0.87,88.3,-0.1
165.6666667,0.024406441,0.250386064,59,0,1.27,90.9,-0.1
165.7083333,0.024406441,0.156048097,76,0,0.48,92.9,0
165.75,0.024406441,0.118458266,42,0.272,0.58,93.2,0
165.7916667,0.018205417,0.10192578,8,0.153,0.69,95.2,-0.1
165.8333333,0.013055782,0.086847586,1,0.017,0.39,96,0
165.875,0.013055782,0.073181235,0,0.255,0.82,96,-0.1
165.9166667,0.013055782,0.073181235,0,1.123,0.5,96.3,0.1
165.9583333,0.013055782,0.060882517,0,0.374,0.62,97,-0.1
166,0.013055782,0.040201175,0,0.323,0.93,97.1,0
166.0416667,0.013055782,0.040201175,0,0,1.89,92.8,0
166.0833333,0.013055782,0.031719426,0,0.153,2.1,90.4,-0.1
166.125,0.013055782,0.031719426,0,0.051,2.19,91.1,0.1
166.1666667,0.013055782,0.024406441,0,1.868,2.44,95.3,0.1
166.2083333,0.018205417,0.073181235,0,2.294,2.2,96.3,0.2
166.25,0.013055782,0.060882517,2,0.953,1.75,94,0
166.2916667,0.013055782,0.060882517,11,0.051,1.54,95.1,0
166.3333333,0.013055782,0.049905276,36,0.562,1.96,94.8,0
166.375,0.013055782,0.756400174,54,5.251,2.46,96.1,0.6
166.4166667,0.008892475,0.921095488,60,1.379,2.25,93,-0.1
166.4583333,0.008892475,1.382048443,143,3.349,1.95,95.5,0.2
166.5,0.008892475,1.309419334,240,0.238,1.7,96.5,-0.1
166.5416667,0.008892475,1.04164945,379,0,2.29,94.6,-0.1
166.5833333,0.005644961,0.864069729,205,0,1.56,90.9,-0.1
166.625,0.005644961,0.610477288,149,0,2.07,88,-0.1
166.6666667,0.005644961,0.443905671,293,0,1.91,84.9,-0.1
166.7083333,0.003235803,0.372122673,419,0,1.11,79.5,0
166.75,0.005644961,0.278168971,115,0,1.17,74.3,-0.1
166.7916667,0.005644961,0.224316711,62,0,0.89,74,-0.1
166.8333333,0.005644961,0.156048097,13,0,0.91,78.1,-0.1
166.875,0.005644961,0.10192578,0,0,1.43,76,0
166.9166667,0.008892475,0.073181235,0,0,0.81,79.3,-0.2
166.9583333,0.008892475,0.049905276,0,0,0.28,89.5,0
167,0.008892475,0.024406441,0,0,0.32,93.5,-0.1
167.0416667,0.008892475,0.018205417,0,0,0.25,95.6,0
167.0833333,0.005644961,0.031719426,0,0,0.21,95.9,-0.1
167.125,0.005644961,0.031719426,0,0,0.21,97.1,0
