WL1(mm),WL2(mm),WL3(mm),WL4 (mm),WL5 (mm),Solar (W/m2),AirTemp (DegC),RH (%),y
53,208,87,36,44,0,21.9,97,-0.1
59,62,93,36,50,113,22.3,100,-0.1
60,61,93,36,56,152,22.8,100,-0.1
58,60,91,36,51,141,23.3,100,-0.1
57,61,91,36,48,123,23.6,99,-0.1
55,60,92,36,45,42,23.7,97,-0.2
57,59,91,36,44,0,23.1,100,-0.1
54,58,91,36,44,0,23,100,-0.1
54,60,91,36,44,0,22.9,100,-0.1
52,60,90,36,44,0,22.7,99,-0.1
54,61,90,36,44,0,22.4,100,-0.1
53,61,90,36,44,0,22.2,100,-0.1
54,60,90,36,44,44,22.8,100,-0.1
53,60,90,36,44,294,24.3,100,-0.1
55,59,88,36,44,39,24.6,95,-0.1
56,60,89,36,44,0,22.8,98,-0.1
51,59,88,36,44,0,21.3,100,-0.1
53,62,88,36,44,0,21.2,100,-0.1
59,64,92,36,44,31,21.7,100,-0.1
52,61,83,36,44,111,23.3,96,-0.2
53,60,80,36,44,56,23.2,86,-0.1
51,60,82,36,44,0,19.5,100,-0.1
51,63,83,36,44,625,23.6,91,-0.1
50,62,84,36,44,928,27.6,61,-0.1
51,61,83,36,44,850,28.9,55,-0.1
51,61,89,36,44,0,19.8,89,-0.1
54,63,92,36,44,336,20.8,91,-0.1
38,64,92,36,43,726,25.7,76,-0.2
38,63,93,36,43,663,26.7,68,-0.1
37,65,92,37,43,855,28,60,-0.1
37,64,92,37,43,565,28.1,57,-0.1
37,63,93,37,43,389,27.6,64,-0.1
37,63,91,36,43,125,27.2,71,-0.1
38,64,93,36,43,27,25.1,80,-0.1
38,67,92,36,43,0,20.9,94,-0.1
38,62,94,36,43,0,20,97,-0.1
38,65,94,36,43,0,19.7,100,-0.1
38,65,92,36,43,0,19.2,99,-0.1
38,66,93,36,43,0,18.8,100,-0.1
38,64,92,36,43,21,18.4,100,-0.1
39,70,114,36,45,107,20.4,100,-0.2
39,72,113,36,44,122,20.7,100,-0.1
39,71,111,36,44,74,21,100,-0.1
39,71,113,36,44,19,21,100,-0.1
38,70,114,36,44,0,20.2,100,-0.1
39,73,113,36,44,0,20.3,100,-0.1
38,75,111,36,44,0,20.4,100,-0.1
81,96,89,-6,113,6,20.2,100,-0.1
79,75,111,3,96,24,20.4,100,-0.7
64,69,96,14,71,165,21,100,-0.8
44,54,81,27,48,195,21.6,100,-0.7
39,49,65,32,43,251,22,100,-0.4
39,48,59,34,43,241,23.4,100,-0.4
39,47,52,35,43,142,23.8,100,-0.3
39,46,50,35,43,102,23.8,100,-0.2
39,46,49,35,43,31,23.3,100,-0.2
39,46,48,35,43,8,23.1,100,-0.2
39,45,46,35,43,0,22.7,100,-0.2
39,45,46,36,43,0,22.5,100,-0.1
39,45,46,36,43,0,22.5,100,-0.1
39,45,45,36,43,0,22.4,100,-0.1
39,45,46,36,43,0,22.2,100,-0.1
39,45,45,36,43,0,22.1,99,-0.1
39,45,49,36,43,0,21.9,100,-0.2
39,45,47,36,43,0,22,100,-0.1
39,45,46,36,43,0,22,100,-0.2
39,45,45,36,43,8,22,100,-0.1
39,45,45,36,43,21,22.3,100,-0.1
39,45,44,36,43,56,22.6,100,-0.1
39,45,44,36,43,63,23.2,100,-0.1
39,45,44,36,43,113,23.7,100,-0.2
39,44,43,36,43,119,24.5,100,-0.2
39,44,43,36,43,68,24.6,100,-0.1
39,44,43,36,43,13,24.6,100,-0.1
58,67,109,15,53,0,23.8,100,-0.8
38,51,76,29,44,0,23.7,100,-0.6
38,46,58,33,44,0,23.4,100,-0.4
38,45,50,34,44,0,23,100,-0.3
38,45,48,34,44,0,22.9,100,-0.3
38,45,46,35,44,0,22.8,99,-0.2
38,45,45,35,44,0,22.8,100,-0.2
38,45,44,35,44,0,22.8,100,-0.2
38,45,44,35,44,0,22.8,100,-0.1
37,44,44,35,44,0,22.8,100,-0.1
37,44,43,35,44,13,22.9,100,-0.2
37,44,43,35,44,51,23.4,100,-0.1
37,44,42,35,44,83,24,100,-0.1
37,44,42,35,44,196,24.7,100,-0.1
37,44,41,35,44,474,25.9,100,-0.1
37,44,41,35,44,615,27.4,95,-0.2
37,44,41,35,44,484,28.1,91,-0.1
37,44,41,35,44,366,28.5,87,-0.1
37,44,41,36,44,440,28.4,87,-0.1
37,43,40,36,43,390,28.5,84,-0.1
37,44,40,36,43,75,27.2,87,-0.1
37,44,40,36,43,15,25.8,94,-0.1
37,44,40,36,43,0,24.6,99,-0.1
37,44,40,36,43,0,23.5,100,-0.1
