WL1(mm),WL2(mm),WL3(mm),WL4 (mm),WL5 (mm),Solar (W/m2),AirTemp (DegC),RH (%)
124,324,50,38,56,678,25.6,64
123,322,50,38,56,550,25.2,66
123,322,50,38,56,71,22.9,71
132,330,54,38,56,22,22.1,75
130,333,55,38,57,0,19.6,96
131,333,54,38,56,0,19.5,98
137,344,54,38,61,15,17.7,100
127,341,54,38,60,774,24.5,56
126,341,53,38,59,602,25.7,49
122,337,51,38,59,128,23.5,66
122,337,51,38,59,42,22.8,69
123,338,52,38,59,10,21.7,74
123,337,53,38,57,0,20.2,83
123,338,53,38,54,0,18.3,93
123,339,52,38,49,0,17.3,97
123,339,52,38,48,0,17,99
120,339,53,38,47,12,17.4,100
119,338,53,38,47,430,21.8,83
119,338,53,38,47,826,24,70
94,280,51,39,48,599,24.7,70
93,282,51,38,47,92,22.9,72
89,280,50,38,48,51,22.2,74
98,287,55,38,64,10,21.6,77
104,294,60,38,78,0,21,81
110,299,61,38,89,0,20.7,84
111,300,62,38,107,0,20.8,84
116,302,60,38,122,0,19.8,88
120,304,63,38,125,0,17.9,96
109,223,63,38,74,295,21,93
89,211,64,38,44,13,25.7,68
89,211,64,38,72,0,23.6,81
89,211,64,38,82,0,21.9,89
88,211,64,38,88,0,21.2,92
89,213,63,38,92,0,20.8,95
89,212,64,38,97,0,20.1,98
89,211,64,38,99,0,19.8,99
89,211,64,38,101,0,19.6,100
92,214,67,38,106,225,23,91
65,213,94,37,43,415,34,51
66,211,102,36,43,115,32.8,68
65,210,95,36,43,1,28.9,87
64,209,89,36,43,0,26.5,96
60,208,104,36,43,717,32.5,68
79,212,110,36,43,578,32.9,67
81,213,101,36,43,550,33,66
82,212,100,37,43,392,33.1,65
82,210,108,36,43,80,32.2,65
83,207,109,36,43,47,31,67
83,208,109,36,43,2,30.2,70
84,207,111,36,43,0,29.6,72
86,209,112,36,43,0,25.6,93
87,207,113,36,43,400,30.7,77
85,209,109,37,43,704,33.2,65
60,199,93,36,43,134,27,87
57,198,88,36,43,360,28,82
58,198,88,36,43,583,29.3,70
57,197,81,36,43,805,30.4,64
56,195,88,36,43,905,31,62
54,195,81,36,43,863,31.4,63
56,195,87,36,43,920,31.7,63
55,195,81,37,43,776,31.8,61
56,194,81,37,43,657,31.4,61
43,195,84,36,43,441,25,88
41,193,82,36,43,910,30.5,61
43,194,85,37,43,782,31.4,60
42,195,87,36,43,0,25.4,86
41,194,87,36,43,0,25.6,87
42,194,86,36,43,0,25.7,90
39,193,88,36,43,606,28.8,76
41,193,87,36,43,803,30.3,63
40,193,89,37,43,447,31.1,51
38,190,84,36,43,1,25,74
38,189,84,36,43,0,22.9,83
38,189,82,36,43,0,21.2,92
38,188,79,36,43,0,20.5,95
38,189,79,36,43,0,19.5,96
38,189,82,36,43,0,18.9,98
38,189,82,36,43,0,18.9,99
38,189,81,36,43,200,21.2,97
38,188,82,36,43,437,26.1,75
38,189,82,36,43,599,28,71
38,188,80,36,43,340,29.7,65
38,187,81,37,43,550,30.5,64
38,187,79,36,43,115,28.8,71
38,187,82,36,43,2,26.6,83
38,188,83,36,43,0,23.4,97
38,187,84,36,43,0,22.4,100
38,188,83,36,43,36,21.8,100
37,187,83,36,43,454,27.9,77
37,186,83,36,43,542,28.6,72
38,187,81,36,43,72,28.7,72
38,187,83,36,43,1,24,90
41,191,90,36,43,194,24.4,98
43,190,89,36,43,278,26.1,91
43,188,84,36,43,82,26.1,92
43,186,83,36,43,38,25.5,99
43,185,83,36,43,0,25.1,100
93,103,126,21,76,4,25,100
77,88,118,30,54,32,25.2,100
74,83,112,34,46,13,25.1,100
70,78,106,34,45,28,25.7,100
66,73,99,35,45,54,26,100
61,70,96,36,45,258,26.3,100
57,63,94,36,44,472,27.9,99
58,64,93,36,44,587,29.4,89
52,60,92,36,44,692,31.1,75
55,59,89,36,44,457,31.1,72
54,57,89,36,44,125,30.1,71
51,57,88,36,44,14,27.4,81
49,55,86,36,44,0,26.7,82
47,55,85,36,44,0,25.6,87
48,56,87,36,44,0,24.4,94
50,55,86,36,44,0,23.7,97
49,54,85,36,44,0,23.2,99
43,53,84,36,44,0,22.5,99
42,53,84,36,44,0,22.2,100
41,54,82,36,44,0,22.1,100
42,53,80,36,44,0,21.9,100
52,203,79,36,44,70,23.4,100
45,202,80,36,44,159,24.8,92
43,207,83,36,44,348,27.5,69
44,208,83,36,54,57,19.6,100
43,207,83,36,55,138,21.2,97
42,207,84,36,55,186,22.9,92
51,210,86,36,56,0,18.8,99
53,209,85,36,56,1,17.5,100
53,209,85,36,53,603,25.1,84
54,208,85,36,51,783,26.8,75
53,208,85,36,47,403,27.3,70
53,208,87,36,44,0,21.9,97
59,62,93,36,50,113,22.3,100
60,61,93,36,56,152,22.8,100
58,60,91,36,51,141,23.3,100
57,61,91,36,48,123,23.6,99
55,60,92,36,45,42,23.7,97
57,59,91,36,44,0,23.1,100
54,58,91,36,44,0,23,100
54,60,91,36,44,0,22.9,100
52,60,90,36,44,0,22.7,99
54,61,90,36,44,0,22.4,100
53,61,90,36,44,0,22.2,100
54,60,90,36,44,44,22.8,100
53,60,90,36,44,294,24.3,100
55,59,88,36,44,39,24.6,95
56,60,89,36,44,0,22.8,98
51,59,88,36,44,0,21.3,100
53,62,88,36,44,0,21.2,100
59,64,92,36,44,31,21.7,100
52,61,83,36,44,111,23.3,96
53,60,80,36,44,56,23.2,86
51,60,82,36,44,0,19.5,100
51,63,83,36,44,625,23.6,91
50,62,84,36,44,928,27.6,61
51,61,83,36,44,850,28.9,55
51,61,89,36,44,0,19.8,89
54,63,92,36,44,336,20.8,91
38,64,92,36,43,726,25.7,76
38,63,93,36,43,663,26.7,68
37,65,92,37,43,855,28,60
37,64,92,37,43,565,28.1,57
37,63,93,37,43,389,27.6,64
37,63,91,36,43,125,27.2,71
38,64,93,36,43,27,25.1,80
38,67,92,36,43,0,20.9,94
38,62,94,36,43,0,20,97
38,65,94,36,43,0,19.7,100
38,65,92,36,43,0,19.2,99
38,66,93,36,43,0,18.8,100
38,64,92,36,43,21,18.4,100
39,70,114,36,45,107,20.4,100
39,72,113,36,44,122,20.7,100
39,71,111,36,44,74,21,100
39,71,113,36,44,19,21,100
38,70,114,36,44,0,20.2,100
39,73,113,36,44,0,20.3,100
38,75,111,36,44,0,20.4,100
81,96,89,-6,113,6,20.2,100
79,75,111,3,96,24,20.4,100
64,69,96,14,71,165,21,100
44,54,81,27,48,195,21.6,100
39,49,65,32,43,251,22,100
39,48,59,34,43,241,23.4,100
39,47,52,35,43,142,23.8,100
39,46,50,35,43,102,23.8,100
39,46,49,35,43,31,23.3,100
39,46,48,35,43,8,23.1,100
39,45,46,35,43,0,22.7,100
39,45,46,36,43,0,22.5,100
39,45,46,36,43,0,22.5,100
39,45,45,36,43,0,22.4,100
39,45,46,36,43,0,22.2,100
39,45,45,36,43,0,22.1,99
39,45,49,36,43,0,21.9,100
39,45,47,36,43,0,22,100
39,45,46,36,43,0,22,100
39,45,45,36,43,8,22,100
39,45,45,36,43,21,22.3,100
39,45,44,36,43,56,22.6,100
39,45,44,36,43,63,23.2,100
39,45,44,36,43,113,23.7,100
39,44,43,36,43,119,24.5,100
39,44,43,36,43,68,24.6,100
39,44,43,36,43,13,24.6,100
58,67,109,15,53,0,23.8,100
38,51,76,29,44,0,23.7,100
38,46,58,33,44,0,23.4,100
38,45,50,34,44,0,23,100
38,45,48,34,44,0,22.9,100
38,45,46,35,44,0,22.8,99
38,45,45,35,44,0,22.8,100
38,45,44,35,44,0,22.8,100
38,45,44,35,44,0,22.8,100
37,44,44,35,44,0,22.8,100
37,44,43,35,44,13,22.9,100
37,44,43,35,44,51,23.4,100
37,44,42,35,44,83,24,100
37,44,42,35,44,196,24.7,100
37,44,41,35,44,474,25.9,100
37,44,41,35,44,615,27.4,95
37,44,41,35,44,484,28.1,91
37,44,41,35,44,366,28.5,87
37,44,41,36,44,440,28.4,87
37,43,40,36,43,390,28.5,84
37,44,40,36,43,75,27.2,87
37,44,40,36,43,15,25.8,94
37,44,40,36,43,0,24.6,99
37,44,40,36,43,0,23.5,100
37,44,40,36,43,0,23.1,100
37,44,40,36,43,0,22.8,100
37,44,40,36,43,0,22.7,100
37,44,40,36,43,0,22.1,100
37,44,40,36,43,0,22,100
37,44,40,36,43,0,21.7,100
37,44,40,36,43,0,21.9,100
37,43,40,36,43,130,23.9,100
37,43,40,36,43,116,25.1,100
37,43,40,36,43,188,26.5,96
37,43,40,36,43,341,27.1,95
37,43,40,36,43,281,28.8,87
37,43,40,36,43,282,28.9,87
37,43,40,36,43,214,28.9,86
37,43,40,36,43,98,28.3,81
37,43,40,36,43,5,27,85
37,43,40,36,43,0,26.1,91
37,43,40,36,43,0,25,99
37,44,43,36,43,94,25.7,99
37,44,42,36,43,76,26,89
37,44,42,36,43,153,26.2,88
37,44,41,36,43,37,25.8,88
37,44,41,36,43,0,25.2,90
37,44,40,36,43,0,23.7,96
37,44,40,36,43,0,23,99
37,44,40,36,43,0,22.5,99
37,44,40,36,43,0,21.8,100
37,44,40,36,43,0,21.1,100
37,44,40,36,43,0,21.3,100
37,44,40,36,43,65,22,100
37,43,40,36,43,326,24.5,99
37,43,40,36,43,535,27.5,84
37,43,40,36,43,397,28.4,77
37,43,40,36,43,114,27.4,85
37,43,40,36,43,0,24.4,99
37,43,40,36,43,0,23.8,100
37,43,40,36,43,0,23.6,100
37,43,40,36,43,0,23.1,100
37,43,40,36,43,72,23.4,100
37,43,40,36,43,275,27.3,90
37,43,40,37,43,419,29.4,83
37,43,40,37,43,113,28.5,86
37,43,40,37,43,0,25.4,100
37,43,40,36,43,0,24.3,100
37,43,40,36,43,0,23.7,100
37,43,40,37,43,324,26.4,98
37,43,40,37,43,640,28.4,82
37,43,40,37,43,412,28.4,77
37,43,40,37,43,383,28.3,77
37,43,40,37,43,525,28.9,74
37,43,40,37,43,471,29.3,70
37,43,42,37,43,12,26.3,86
37,43,42,37,43,0,23.5,99
37,43,42,37,43,0,22.9,99
37,43,43,37,43,0,22.4,100
37,43,43,37,43,455,25.6,98
37,43,43,37,43,360,27.8,85
37,43,43,37,43,309,28.6,81
37,43,43,37,43,198,28.4,83
37,43,43,37,43,501,29.1,82
37,44,43,37,43,100,20.6,95
37,44,43,37,43,106,20.1,93
37,44,43,37,43,0,19.2,93
37,44,43,37,43,393,22.3,86
37,43,42,37,43,778,25.1,70
37,43,42,37,43,847,25.8,69
37,43,42,37,43,667,26.2,67
37,43,42,37,43,342,27.5,61
37,43,42,37,43,58,25.9,67
37,44,42,37,43,11,23.3,82
37,44,42,37,43,0,18.6,98
37,44,42,37,43,0,17.5,100
37,44,42,37,43,0,16.5,99
37,44,42,37,43,0,15.8,100
37,44,42,37,43,0,15.4,100
37,43,42,37,43,578,23.6,83
37,43,42,37,43,717,25.5,70
37,43,42,37,43,800,26.4,66
37,43,42,37,43,826,27.3,66
37,43,42,37,43,812,28.4,65
37,43,42,37,43,679,29.1,64
37,43,42,37,43,470,29.3,63
37,43,42,37,43,203,27.8,68
37,43,42,37,43,51,25.9,74
37,44,42,37,43,7,24.5,76
37,44,42,37,43,0,22.7,86
37,44,42,37,43,0,21.9,93
37,44,42,37,43,0,21.8,95
37,44,42,37,43,0,21.6,97
37,44,42,37,43,0,21.2,98
37,44,42,37,43,0,20.6,100
37,44,42,37,43,0,20.1,100
37,44,42,37,43,0,20.1,100
37,44,42,37,43,0,20.2,100
37,44,42,37,43,13,20.8,100
37,44,42,37,43,113,21.8,100
37,43,42,37,43,331,25,93
37,43,42,37,43,430,26.9,82
37,43,42,37,43,320,26.4,80
37,43,42,37,43,517,27.1,79
37,43,42,37,43,522,27.6,77
37,43,42,37,43,734,28.8,71
37,43,42,37,43,204,28.1,73
37,43,42,37,43,85,27.4,75
37,43,42,37,43,5,25.8,82
37,44,42,37,43,0,24.4,88
37,44,42,37,43,0,24,89
37,44,42,37,43,0,23.7,91
37,44,41,37,43,0,23.5,92
37,44,42,37,43,0,23.1,95
37,44,42,37,43,0,22.1,100
37,44,42,37,43,0,21.6,100
37,44,42,37,43,0,20.4,97
37,44,42,37,43,125,19.9,100
37,43,41,37,43,459,23.9,79
90,45,48,36,43,0,15.5,100
93,44,51,36,43,0,15,100
92,44,47,37,43,578,23.5,67
92,44,47,37,43,720,25.2,62
93,44,45,37,43,833,26.5,57
93,44,45,37,43,687,27.4,56
