WL1(mm),WL2(mm),WL3(mm),WL4 (mm),WL5 (mm),PD (mm),Solar (W/m2),Precipitation (mm),WindSpeed (m/s),AirTemp (DegC),RH (%),,
139,345,58,38,61,103.0 ,0,2.584,0.77,18,100,,
137,343,55,38,61,103.0 ,0,0.034,0.7,17.9,100,,
137,344,54,38,61,102.0 ,15,0.017,0.66,17.7,100,,
138,344,54,38,60,102.0 ,135,0,0.69,18.2,100,,
132,339,53,38,60,103.0 ,327,0,0.83,19.4,100,,
131,340,54,38,60,103.0 ,535,0,0.77,20.8,86,,
132,343,55,38,61,103.0 ,723,0,1.12,21.6,72,,
132,345,55,38,61,103.0 ,847,0,1.79,22.5,65,,
128,341,53,38,60,104.0 ,905,0,1.37,23.6,61,,
127,341,54,38,60,103.0 ,774,0,1.28,24.5,56,,
126,340,53,38,59,104.0 ,656,0,1.51,25.4,52,,
126,341,53,38,59,101.0 ,602,0,1.32,25.7,49,,
125,340,52,38,59,101.0 ,706,0,1.91,25.8,50,,
125,339,52,38,59,102.0 ,475,0,1.79,24.3,63,,
122,337,51,38,59,100.0 ,128,0,2.06,23.5,66,,
122,337,51,38,59,98.0 ,42,0,1.67,22.8,69,,
123,338,52,38,59,97.0 ,10,0,0.61,21.7,74,,
123,337,53,38,57,96.0 ,0,0,0.34,20.2,83,,
123,338,54,38,56,96.0 ,0,0,0.31,19.1,89,,
123,338,53,38,54,95.0 ,0,0,0.33,18.3,93,,
123,338,52,38,51,95.0 ,0,0,0.29,17.8,96,,
123,339,52,38,49,94.0 ,0,0,0.35,17.3,97,,
123,339,52,38,48,93.0 ,0,0,0.17,17,99,,
124,339,53,38,48,93.0 ,0,0,0.28,17.4,99,,
123,339,53,38,47,93.0 ,0,0,0.26,17.6,100,,
120,339,53,38,47,93.0 ,0,0,0.35,17.6,100,,
120,339,53,38,47,92.0 ,12,0,0.74,17.4,100,,
117,337,52,38,47,92.0 ,47,0,0.75,17.8,100,,
117,337,52,38,47,92.0 ,120,0,1.27,18.8,98,,
117,337,52,38,47,93.0 ,282,0,1.04,19.9,93,,
119,338,53,38,47,92.0 ,430,0,0.76,21.8,83,,
120,339,53,38,47,93.0 ,604,0,1.24,23.2,75,,
119,338,53,38,47,92.0 ,826,0,1.38,24,70,,
127,344,57,38,47,94.0 ,653,0,1.62,24.7,69,,
127,344,57,38,48,94.0 ,780,0,1.56,25.2,68,,
126,344,61,39,48,94.0 ,735,0,1.72,25.6,68,,
94,280,51,39,48,93.0 ,599,0,1.83,24.7,70,,
90,280,51,38,47,94.0 ,302,0,1.93,23.8,71,,
93,282,51,38,47,91.0 ,92,0,1.45,22.9,72,,
89,280,50,38,48,90.0 ,51,0,1.3,22.2,74,,
98,287,55,38,64,89.0 ,10,0,0.97,21.6,77,,
104,294,60,38,78,88.0 ,0,0,0.79,21,81,,
110,299,61,38,89,87.0 ,0,0,0.84,20.7,84,,
109,299,61,38,100,87.0 ,0,0,0.96,20.8,84,,
111,300,62,38,107,86.0 ,0,0,0.94,20.8,84,,
