WL3(mm),PD
50,103
50,102
50,102
50,100
50,100
50,99
54,98
55,100
56,102
56,102
55,101
55,101
54,100
55,100
55,101
58,103
55,103
54,102
54,102
53,103
54,103
55,103
55,103
53,104
54,103
53,104
53,101
52,101
52,102
51,100
51,98
52,97
53,96
54,96
53,95
52,95
52,94
52,93
53,93
53,93
53,93
53,92
52,92
52,92
52,93
53,92
53,93
53,92
57,94
57,94
61,94
51,93
51,94
51,91
50,90
55,89
60,88
61,87
61,87
62,86
62,86
60,85
62,85
62,85
63,84
58,84
59,85
63,84
62,109
64,111
64,107
64,105
64,104
64,103
63,102
63,102
64,101
64,100
64,100
64,99
64,99
64,99
66,100
67,99
67,99
67,43
67,43
67,43
67,43
68,43
69,43
69,43
67,43
68,43
68,43
68,43
68,43
68,43
68,43
68,43
69,43
69,43
70,43
69,43
70,43
70,43
70,43
79,43
78,43
79,43
78,43
79,43
66,43
66,43
66,43
74,43
74,43
73,43
73,43
73,43
72,43
72,43
73,43
73,43
73,43
73,43
72,43
74,43
72,43
70,43
68,43
68,43
69,43
68,43
68,43
68,43
69,43
71,43
71,43
70,43
70,43
71,43
69,43
68,43
69,43
67,43
67,43
68,43
64,43
64,43
69,43
69,43
75,43
77,43
80,43
81,43
77,43
74,43
72,43
74,43
74,43
77,43
76,43
78,43
77,43
78,43
79,43
80,43
79,43
79,43
79,43
78,43
78,43
79,43
79,43
76,43
74,43
74,43
74,43
75,43
75,43
77,43
80,43
79,43
78,43
78,43
77,43
69,71
94,71
101,73
102,72
88,73
95,72
97,72
100,72
89,72
102,72
96,72
96,72
104,72
92,72
94,72
95,72
96,72
97,72
97,72
97,72
97,72
95,72
104,72
110,72
101,72
100,72
100,72
108,72
109,71
109,71
111,71
110,71
103,71
110,71
113,71
109,71
113,71
103,71
112,71
114,71
105,71
109,71
109,71
110,71
113,71
101,71
111,71
106,71
109,71
110,71
96,71
109,71
111,71
106,71
110,71
106,71
104,71
107,71
104,71
105,71
111,71
109,71
109,71
107,71
100,71
93,71
88,71
88,71
81,71
88,70
81,70
87,70
81,70
81,70
81,70
84,70
84,70
81,70
86,70
88,70
85,70
85,71
89,71
89,71
88,71
85,71
89,71
88,71
86,71
85,71
84,71
84,71
88,71
84,71
82,71
87,71
85,71
91,71
87,71
86,71
88,71
87,71
88,71
89,71
87,71
90,71
87,71
87,71
87,71
86,71
88,71
89,71
88,71
85,71
88,71
88,71
87,71
87,70
88,70
88,70
89,70
89,70
90,70
91,70
88,70
84,70
84,70
81,70
82,70
79,70
81,70
79,70
82,70
82,70
82,70
82,70
81,70
81,70
81,70
82,69
82,69
82,69
81,69
80,69
80,69
81,69
82,69
79,69
82,69
82,69
82,69
84,69
83,69
83,69
83,69
84,69
84,69
84,69
84,69
84,69
83,69
82,69
83,69
83,69
83,69
83,69
81,69
83,69
83,69
82,69
81,68
82,68
84,68
83,68
84,68
84,68
83,68
86,68
84,68
85,68
85,68
84,68
84,68
83,68
87,68
87,68
88,68
89,68
90,68
89,68
89,68
89,68
87,68
84,68
82,68
83,68
82,68
85,68
85,69
85,69
84,69
83,69
83,69
106,71
150,71
149,72
151,72
153,73
126,73
118,72
114,72
112,72
106,72
99,71
96,71
94,71
93,71
92,71
89,71
89,70
88,70
86,70
85,70
87,70
86,70
85,70
85,70
84,70
84,70
84,70
82,70
80,69
80,69
79,69
79,69
80,69
80,69
79,69
79,69
75,69
77,70
76,70
76,70
76,70
76,70
76,70
77,70
77,70
77,70
76,70
83,70
83,70
85,70
84,71
82,71
83,71
85,71
84,71
87,71
82,71
83,71
84,71
82,71
85,71
83,71
83,71
82,71
83,71
82,72
84,72
84,72
83,72
83,72
83,72
84,72
83,72
83,72
81,72
84,72
84,72
83,72
83,71
83,72
83,71
81,72
84,71
83,71
82,71
84,71
83,71
84,71
85,72
86,72
85,72
86,72
85,72
85,72
87,72
85,72
86,72
86,72
86,72
86,72
85,72
85,72
85,72
84,72
85,71
85,71
84,71
85,71
86,71
85,71
86,71
87,71
87,71
85,71
85,71
87,71
85,71
86,71
86,71
85,71
88,71
87,71
85,71
87,71
87,71
87,72
87,72
88,72
93,72
93,71
94,72
95,72
95,72
93,71
91,71
91,71
92,71
91,71
91,71
91,71
91,71
91,71
90,71
91,71
90,71
90,71
90,71
90,71
90,70
90,70
90,70
90,70
90,70
90,70
90,70
89,70
89,70
89,70
88,70
89,70
88,70
88,70
88,70
88,70
89,70
88,70
88,70
88,70
88,70
88,70
88,70
87,70
88,70
88,70
87,70
92,70
89,70
89,70
88,70
83,70
83,70
83,70
83,70
82,70
80,70
82,70
82,70
82,70
82,70
82,70
82,70
82,70
82,70
83,70
83,70
83,70
83,70
83,70
83,70
82,70
83,70
84,70
84,70
84,70
83,70
88,70
89,70
89,70
89,70
89,70
89,70
89,70
89,70
90,70
89,70
91,70
92,70
92,70
92,70
91,70
91,70
92,70
91,70
91,70
92,70
80,70
92,70
93,70
92,70
92,69
93,69
93,69
91,69
93,69
93,69
92,69
94,69
94,69
94,69
94,69
92,69
92,69
93,69
95,69
92,69
92,69
96,69
97,69
97,69
97,69
97,69
97,69
97,69
98,69
99,69
99,69
99,69
102,69
103,69
102,69
103,69
103,69
104,69
107,69
102,69
102,69
105,69
106,69
105,69
104,69
106,69
117,70
115,70
116,71
118,71
116,71
114,71
113,71
111,70
115,70
113,70
114,70
110,70
112,70
114,70
115,71
114,70
112,70
113,70
113,70
111,70
110,70
122,73
113,74
96,74
89,74
111,73
118,73
96,72
81,72
65,71
59,71
52,70
50,70
49,70
48,70
46,70
46,70
46,69
45,69
45,70
46,69
45,69
56,70
49,70
47,70
46,69
45,69
45,69
44,69
44,69
44,69
44,69
44,69
43,69
43,69
43,69
43,68
43,68
43,68
154,73
109,72
76,71
58,71
50,71
48,70
46,70
45,70
44,70
44,70
44,69
43,69
43,69
42,69
42,69
41,69
41,69
41,69
41,68
41,68
40,68
40,68
40,68
40,68
40,68
40,68
40,68
40,68
40,68
40,68
40,68
40,67
40,67
40,67
40,67
40,67
40,67
40,67
40,67
40,67
40,67
40,67
40,67
40,67
40,66
40,66
40,66
40,66
40,66
40,66
40,66
40,66
40,67
40,67
40,67
40,67
40,66
44,67
43,67
42,67
46,67
46,67
46,67
44,67
43,67
43,67
42,67
42,67
42,67
41,67
41,67
41,67
41,67
41,67
40,67
40,67
40,67
40,66
40,66
40,66
40,66
40,66
40,66
40,66
40,66
40,66
40,66
40,66
40,66
40,66
40,66
40,66
40,66
40,66
40,66
40,66
40,66
40,65
40,65
40,65
40,65
40,65
40,65
40,65
40,65
40,65
40,65
40,65
40,65
40,65
40,65
40,65
40,65
40,65
40,65
40,65
40,65
40,65
40,65
40,65
40,65
40,65
40,65
40,65
40,65
40,64
40,64
40,64
40,64
40,64
40,64
40,64
40,64
40,64
40,64
40,64
40,64
40,64
40,64
40,64
40,64
40,64
40,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,63
42,63
42,63
42,63
43,63
43,63
43,63
43,63
43,63
43,63
43,63
43,63
43,63
43,63
43,63
43,63
43,63
43,63
43,63
43,63
47,64
45,64
44,64
44,64
44,64
44,64
44,64
44,64
43,64
43,64
43,64
43,64
43,64
43,64
43,64
43,64
43,64
43,64
43,64
43,64
43,64
43,64
43,64
43,64
43,64
43,64
43,64
43,64
43,64
43,64
43,64
43,64
43,64
43,64
43,64
43,64
43,64
42,64
42,64
42,64
42,64
42,64
42,64
42,63
42,63
42,63
42,63
42,63
42,63
42,63
42,63
42,63
42,63
42,63
42,63
42,63
42,63
42,63
42,63
42,63
42,63
42,62
42,62
42,62
42,62
42,61
42,61
42,61
42,61
42,61
42,61
42,61
42,61
42,60
42,60
42,60
42,60
42,60
42,60
42,60
42,60
42,60
42,60
42,60
42,59
42,59
42,59
42,58
42,58
40,65
40,67
42,66
42,66
42,65
42,65
42,65
42,65
41,65
42,65
42,65
42,65
42,65
42,64
42,64
42,64
42,64
42,64
42,64
41,64
40,65
40,66
40,67
40,67
40,67
40,67
48,67
43,68
47,69
47,69
47,70
47,70
47,70
47,70
48,70
52,70
51,71
49,71
48,70
51,70
52,70
51,70
47,70
47,70
47,70
47,70
45,70
45,70
45,70
48,70
49,70
48,70
48,70
43,70
42,70
42,70
42,70
42,70
42,69
41,69
41,69
41,69
41,69
41,69
41,69
41,69
41,69
41,69
40,69
40,69
40,69
40,69
40,69
40,69
40,69
40,69
40,69
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
39,70
39,70
39,70
39,70
39,70
39,70
39,70
39,70
39,70
39,70
39,70
39,70
39,70
39,70
39,70
39,70
39,70
39,70
39,70
39,70
39,69
39,70
39,69
39,69
39,69
39,69
39,69
40,69
40,69
40,69
40,69
40,69
40,68
40,68
40,68
40,68
40,68
40,68
40,68
40,68
40,68
40,68
41,68
40,69
41,68
40,68
40,69
46,69
59,70
57,70
53,70
51,70
58,71
56,71
57,71
52,70
52,71
47,70
44,70
45,70
44,70
44,70
46,70
52,70
54,71
67,71
51,71
49,71
47,71
48,70
45,71
45,70
45,70
45,71
48,71
50,71
50,71
47,71
44,70
42,70
41,70
41,69
41,69
41,69
41,69
41,69
41,69
41,69
40,68
40,68
40,68
40,68
40,68
40,68
40,68
40,68
40,68
40,68
40,68
40,68
40,68
40,68
40,68
40,68
40,67
40,67
40,67
40,67
40,67
40,67
40,67
40,67
40,67
40,67
40,67
40,67
40,67
40,67
40,67
40,66
40,66
40,66
40,66
40,66
40,66
40,66
40,66
40,66
40,66
40,66
40,66
40,66
40,66
40,65
40,65
40,65
40,65
40,65
40,65
39,65
39,65
39,65
39,65
39,65
39,65
39,65
39,65
39,65
40,65
40,65
40,64
40,64
40,64
40,64
40,64
40,64
40,64
40,64
40,64
40,64
40,64
40,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,64
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,63
39,62
39,63
39,62
39,62
39,63
39,62
39,63
39,63
39,64
39,64
39,64
39,65
39,65
39,65
39,65
39,65
39,65
39,65
39,65
39,65
39,65
39,65
39,65
39,65
39,65
39,65
39,65
39,65
39,66
39,66
40,66
41,66
57,69
60,70
66,71
78,71
55,71
51,71
74,71
64,71
52,71
48,71
45,70
46,71
45,70
44,70
44,70
44,70
43,70
43,70
43,69
43,69
43,69
42,69
42,69
42,69
42,69
42,68
42,68
42,68
42,68
42,68
42,68
42,68
42,68
42,68
42,68
42,68
42,68
42,68
42,68
42,68
42,68
42,67
42,67
42,67
42,67
42,67
42,67
42,67
42,67
41,67
41,67
41,67
41,67
41,67
41,67
42,67
42,67
42,67
42,67
42,67
42,67
42,67
42,67
42,67
42,67
42,67
42,66
42,66
42,66
42,66
42,66
41,66
42,66
41,66
41,66
41,66
41,66
41,66
41,66
42,66
42,66
42,66
42,66
42,66
42,66
42,66
42,66
42,66
42,65
42,65
42,65
42,65
42,65
42,65
42,65
42,65
41,65
41,65
41,65
41,65
41,65
41,65
42,65
42,65
42,65
42,65
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,65
42,65
42,65
42,65
42,65
42,65
42,65
42,65
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
41,64
41,64
41,64
41,64
41,64
41,64
41,64
41,64
41,64
42,64
42,64
42,64
42,64
42,64
42,64
42,63
42,63
41,63
41,63
41,63
41,63
41,63
41,63
41,63
41,63
42,63
42,63
42,63
42,63
42,63
42,63
42,63
42,63
42,62
42,62
42,62
42,62
42,62
42,62
42,62
42,62
41,62
41,62
41,62
41,62
41,62
41,62
41,62
41,62
42,61
42,61
42,61
42,61
42,61
42,61
42,61
42,61
42,61
42,61
42,61
42,61
42,60
41,60
41,60
41,60
41,60
41,60
41,60
41,59
41,59
41,59
41,59
42,58
42,58
42,58
42,57
42,57
42,57
42,57
42,57
42,57
42,56
42,56
41,56
41,56
41,56
41,56
41,55
41,55
41,55
41,54
41,52
41,49
41,47
41,45
42,44
42,43
42,42
42,42
42,41
42,40
42,39
42,39
42,38
42,37
42,37
42,36
42,36
41,35
41,34
41,33
41,32
41,31
41,30
41,28
41,27
41,27
41,25
42,24
42,23
42,22
42,22
42,21
42,20
41,16
41,15
41,16
41,14
41,12
41,11
41,10
41,9
41,9
42,7
42,6
42,6
42,5
42,4
42,4
42,3
42,3
42,2
42,1
42,1
42,1
42,1
42,1
42,1
41,1
41,1
41,1
41,1
41,1
41,1
41,1
41,1
41,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
41,1
41,1
41,1
41,50
41,50
41,50
41,50
41,50
41,50
42,50
42,50
42,50
42,50
42,50
42,50
42,50
42,50
42,50
42,50
41,50
41,50
42,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,48
41,47
41,44
41,43
41,42
41,41
41,40
41,39
41,38
41,38
41,38
41,38
41,37
41,37
41,36
41,36
41,35
41,35
40,35
40,34
40,33
40,32
40,30
40,29
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
41,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
41,50
40,50
41,50
41,50
41,50
41,50
40,50
41,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
39,50
39,50
39,50
39,50
39,50
39,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
39,50
40,50
40,50
40,50
40,50
40,50
40,50
40,50
39,50
39,50
39,50
39,50
39,50
39,50
